[*] Starting Co-evolution Training Loop...
[Ep   20/500] Atk Reward: -2.00 | Def Reward: +0.00 | Critic Loss: 0.2177 | Atk Loss: 1.0995 | Def Loss: 0.1902
[Ep   40/500] Atk Reward: -2.00 | Def Reward: +0.00 | Critic Loss: 0.2722 | Atk Loss: 1.1104 | Def Loss: 0.1236
[Ep   60/500] Atk Reward: -3.00 | Def Reward: +1.00 | Critic Loss: 0.9698 | Atk Loss: 2.1474 | Def Loss: 0.4010
[Ep   80/500] Atk Reward: -2.00 | Def Reward: +0.00 | Critic Loss: 0.3652 | Atk Loss: 1.0803 | Def Loss: 0.0904
[Ep  100/500] Atk Reward: -2.00 | Def Reward: +0.00 | Critic Loss: 0.2416 | Atk Loss: 1.0713 | Def Loss: 0.1463
[Ep  120/500] Atk Reward: -2.00 | Def Reward: +0.00 | Critic Loss: 0.3870 | Atk Loss: 0.9627 | Def Loss: 0.3234
[Ep  140/500] Atk Reward: -2.00 | Def Reward: +0.00 | Critic Loss: 0.3214 | Atk Loss: 0.8953 | Def Loss: 0.1174
[Ep  160/500] Atk Reward: -3.00 | Def Reward: +1.00 | Critic Loss: 0.6205 | Atk Loss: 1.8811 | Def Loss: 0.4005
[Ep  180/500] Atk Reward: -4.00 | Def Reward: +1.00 | Critic Loss: 2.0375 | Atk Loss: 3.1187 | Def Loss: 0.9297
[Ep  200/500] Atk Reward: -2.00 | Def Reward: +0.00 | Critic Loss: 0.2836 | Atk Loss: 0.8580 | Def Loss: 0.1813
[Ep  220/500] Atk Reward: +0.00 | Def Reward: +3.00 | Critic Loss: 0.0026 | Atk Loss: 0.0433 | Def Loss: 0.0015
[Ep  240/500] Atk Reward: -2.00 | Def Reward: +0.00 | Critic Loss: 0.2527 | Atk Loss: 0.8342 | Def Loss: 0.1967
[Ep  260/500] Atk Reward: -2.00 | Def Reward: +0.00 | Critic Loss: 0.3715 | Atk Loss: 0.6696 | Def Loss: 0.1775
[Ep  280/500] Atk Reward: -2.00 | Def Reward: +0.00 | Critic Loss: 0.1543 | Atk Loss: 0.6771 | Def Loss: 0.0653
[Ep  300/500] Atk Reward: -3.00 | Def Reward: +1.00 | Critic Loss: 0.7136 | Atk Loss: 1.5741 | Def Loss: 0.4303
[Ep  320/500] Atk Reward: +0.00 | Def Reward: +2.00 | Critic Loss: 0.0045 | Atk Loss: 0.0504 | Def Loss: 0.0002
[Ep  340/500] Atk Reward: -2.00 | Def Reward: +0.00 | Critic Loss: 0.1717 | Atk Loss: 0.6279 | Def Loss: 0.2253
[Ep  360/500] Atk Reward: -2.00 | Def Reward: +0.00 | Critic Loss: 0.3073 | Atk Loss: 0.4872 | Def Loss: 0.1119
[Ep  380/500] Atk Reward: -3.00 | Def Reward: +0.00 | Critic Loss: 0.6984 | Atk Loss: 1.2710 | Def Loss: 0.3826
[Ep  400/500] Atk Reward: -2.00 | Def Reward: +0.00 | Critic Loss: 0.4771 | Atk Loss: 0.5583 | Def Loss: 0.1712
[Ep  420/500] Atk Reward: -2.00 | Def Reward: +0.00 | Critic Loss: 0.3371 | Atk Loss: 0.5136 | Def Loss: 0.1880
[Ep  440/500] Atk Reward: -2.00 | Def Reward: +0.00 | Critic Loss: 0.2707 | Atk Loss: 0.4711 | Def Loss: 0.1148
[Ep  460/500] Atk Reward: -3.00 | Def Reward: +0.00 | Critic Loss: 0.8986 | Atk Loss: 1.0548 | Def Loss: 0.3982
[Ep  480/500] Atk Reward: -3.00 | Def Reward: +0.00 | Critic Loss: 0.8183 | Atk Loss: 1.0321 | Def Loss: 0.4996
[Ep  500/500] Atk Reward: -2.00 | Def Reward: +0.00 | Critic Loss: 0.5419 | Atk Loss: 0.3707 | Def Loss: 0.2073
